id,tamil,english
4543, Ayyo thala massmarana waitingnee va thala',"Alas, you poor whiting'"
4544, Oruthar mela Viswasam kaartrathunala innoruthara yen asinga paduthuringa',"If you don't trust one, why do you hate the other?'"
4545, Ena getup da aphaaa Apdiyae parthutae irkalam pola irku',It looks like it might be a bad thing'
4546, Thala lam oru allu punda  Poda pitta badu',Thala lam an allu pundi pota pitta badu'
4547, Amitab and taapsi manu ki copy picture bnai h y',Amitabh and Taapsee Manu Ki Kopi Bikidure Bani Hya'
4548, Waiting for Judgement day nerkonda paarvai Trailer Marana Mass THALAAAAAAAA\u200d',Waiting for Judgment day nerkonda paarvai Trailer Marana Mass THALAAAAAAAAA'
4549, Thala ah class ah pakka evlo perukku pidichurukku',How many people can hold the head ah class ah side'
4550, Ja bara ukil babu ekhane action korchhen dekhi🤔',Ja bara ukil babu ekhane action korchhen dekhi🤔'
4551, Dislike Panra DoG ellam Yaru  Any Guess',Who is the talk of Dislike?'
4552, Original  pink Copy  Nerkonda paarvai',ORIGINAL PINK COFFEE INTERVIEW'
4553, Pirabu and naasar very good acting in Piriyanka tamil movie But aigth and Pandey moka acting',Prabhu and Nasser Very Good Acting in Priyanka Tamil Mowaye But Ijith and Pandey Moha Acting'
4554, Telangana    Ajith fans oka like vesukondi',Telangana Ajith Paul's Oka Like'
4555, Wow  Ye kadavula parthuta  Yeppo periya screen la pappanu marana waiting',"Wow, when you see God, you will die when you are big'"
4556, Andhar panita thala Un uyir naadi naan',I am looking for your life'
4557, Thala veetla irundhu nera camera munnadi vadhu nipparu pola  Makeup avathu mannavadhu   Ever Handsome',Who is handsome who comes in front of a straight camera from his home and wears make-up like Nipparu?'
4558, Dislike poduravanuku neraya aabathu kaathutu iruku 🤣🤣🤣',Dislike poduravanuku neraya aabathu kaathutu iruku 🤣🤣🤣'
4559, Yappaaaa samy ippa thaanya ajith padam thukku theatre ku poganumnu thonuthu  ithukku munnaadiii yellam onnum  solrathukku illagoodmovienerkondapaarvai',"Why, Sami, it seems that Tanya Ajith's film is going to Tukku Thear.'"
4560, Finally No  Trending at  Malaysia thala',Binally no trending at Malaysia site'
4561, Anil fans irundha like podunga paa 🤣🤣🤣🤣🤣',Anil fans irundha like podunga paa 🤣🤣🤣🤣🤣'
4562, Intha Mari ponnungaluku ellam ipdi than nadakum Thala  Apdilam Nadakathu NADAKKAKOODATHU Mass moment',This is how things happen to these Mari girls. Mass moment should not happen'
4563, Die hard thala fans hit like here',Die hard thala pals hit like tere'
4564, After saahooo teaseryar ellam inga vandhu irukinga',All Abider Sahuro desairers are here'
4565, Thala vantha pothum Visulu parakumle theathre leh Terike vidromEnnikum Eppayum ThaLa Mattumtha',"Even if the head comes, the light flies, thethere leh terike vitromennikum, is the head always the same?'"
4566, Enga thala parthiya       thaadikkula ella nadipayum olichu vachirrukkaru',Enga Thala Bharatiya Dadikkula Kawachu Vachirukaru all performance'
4567, vera maathiriyaana thalapadathuku marana waiting',Death to a different title'
4568, i am waiting for movie thalaaaaa',E ama vidin por moaye daaaa'
4569, Im from Karnataka I love thala',Im frame karnataka e love thala'
4570, Pink Tapsee panu and Big B',Pink Tapsee Bhanu and Big B'
4571, Thala performance   vera level perfo ',Head performance is another level Probo'
4572, intha movie parthal Ellam avan seyal padam mathiri irukkum pola',"If you look at this movie, everything is like his action movie'"
4573, Yow songs epo ya viduvinga BGM verra level  Thalaforever',Yoo songs will take you to another level whenever you release them'
4574, i m vijay fan but thala yam masssss',I am vijay pan but thala yam massssss'
4575,  thalastyle This scene matum times mela paathvangaa yaarelam',Who is Pathavanga on this scene only times in Thalast?'
4576, Thala NKP  trending Sri lanka',Thala Nuff Trending Sri Sri Lanka'
4577, WaitIs dat Rangaraj Pandey at ',Voidis Dat Rangaraj Pandey At'
4578, ANY YUVAN SHANKAR RAJA FANS HERE ',Any Yuvan Shankar Raja Pals Tere'
4579, Class  Mass  Thala  Yuvan',Class Mass Thala Yuvan'
4580, Oruthounga mela nenga viswasam Tha katurathukaga inorte ye acinga padhuturinga  Thalaaa',"To build trust in one another, inord a slinky'"
4581,  M views k likes No  in trendingThala da',M views k leaks no in trending'
4582, Thala ajith marana mass Mammootty fan',Thala Ajith Death Mass Mammootty Pane'
4583, Thalapathy fans ithu support pandravanga like podunga',Thalapathy Pals Please like this for support'
4584, Thala kola mass  Vera level Thala Ak',Thala Kola Mass is another level Thala Ak'
4585, Dislike panavan oruthanuku poruthuruka maatan poogada ',He who went to Dislikke will not be responsible for one flower shop'
4586, Thalabathy  poster on nd athoda Views Itha Vida adhitgama irkum Paarunga 🤘',Thalapathy poster on and athoda Views Itha Vida adhigama irukkum Paarunga 🤘'
4587, Thala the king  తలా అజిత్ కింగ్',Thala the king Thala Ajith King'
4588, Seems it will be Mokka moive',Scenes it will be moka moiv'
4589, Thala Vera joner la irukar super',Thala Vera is super in Jonare'
4590, Indha trailer Ku kuda  dislike pana  aalungala Ellam Thiruthavey mudiyathu akka thangachi kuda porandhavanguluku intha movie puriyum',Even this trailer can't be edited by disliking all the money people.'
4591, Ithukum k dislikesungaluku yentha maathri padam daa edukanum thotuttalaa iruku daa ungalukku',Do you have any idea what kind of film should be taken for dislikables?'
4592, thayavu senji antha shratha srinath voice ah mathunga daantha dialogue ku intha voice set eh agalamathapadi ellam super',Please change that shraddha srinath voice ah matunga danta dialog ku this voice set h akalamatpadi everything is super'
4593, Myru mathiri irukku ajith ku set aagala',"Ajith is not set, it looks like a violation'"
4594, Indha movie la edho oru periya message irukkusuper',There is a big message in this movie'
4595, Thala siva combo la innoru mass padam pannunga',Do another mass film in Thala Shiva combo'
4596, Ithula dislike panna enna iruku ',What is there to dislike about this?'
4597, Yaar koi mujhe tamil aur telegu languages sikha do',Yar Koi Mujahi Tamil R Dalegu Langunjs Sika Do'
4598,  for some THALA  THALAPATHY fans',Battle of the Somme General Paul Pauls'
4599, Thala mass aah varuveenga theriyum aaana ivlo maass aah varuveenganu nenaikala Verithanam waiting',I know that mass ah will come but you are crazy to think that mass ah will come.'
4600, Ennangaa da ithu mins laa k dislikes thalapathy daaaa 🤣🤣🤣🤣🤣',Ennangaa da ithu mins laa k dislikes thalapathy daaaa 🤣🤣🤣🤣🤣'
4601, Nangge thala fans da vijay  kuda nangge support panuvum Tamilan da Ennore tamilanne kille thaliyude mathum',Nange thala pals da vijay too Nange support banu tamilan da innor tamilanane kille thaliyuthe madum'
4602, Thala vera level BGM vera level',Each level becomes another level'
4603, Thala Vaanga Thala Neenga Namma Thala Getup Pudichavanga Like podunga',"If you want to buy a head, please like our head'"
4604, Dislikes Poetta Avunga Amma Silukku Da',Aunga Amma Chilku Da who put disliks'
4605, neraya neraya neraya vaaila tha kudukanum',You should drink it in your mouth'
4606, Ajith ayo sema va thala va thala',Ajith Ayo Sema wa Thala wa Thala'
4607, Simple Ah sollanumna Kola Mass Trailer Enna Acting ya manushan',Simple ah want to say cola mass trailer what is aciting ya manushan'
4608, Remake a pattaiya kilaputhu semma waiting ',Remake is a bandwagon'
4609, Thala mass vera level trailer Thala Vaazhga sema dialogue awesome',Thala mas another level trailer thala hai sema dialogue awesome'
4610, Last dailoge is vera leval but yaru tha purinjukuranga',Last dialogue is another level but who understands it'
4611, THALA with Yuvan Shankar raja marana masss bgm therikkuthu ',Thala with Yuvan Shankar Raja Marana Masses Bhagum Terukuthu'
4612, Thalaa Gethuuuuuuyov pandey Militry Nee ena yaa inga',Thala ketuuuuuuu pande military ni ena ya inga'
4613, Neraya neraya neraya Veri yethuraruba namba thala Phaa suma odambu pullarichiruchi',Neraya Neraya Neraya Hyani Ethurarupa Namba Thala Baha Summa Odambu Bullarichiruchi'
4614, All Thala die hard fans hit like here',All thala die hard ball's hit like tere'
4615, oruthar mela viswasam katta mass thala',A place of mass to build trust in one another'
4616, oruthakanga mela viswasam katradhukaga unoruthara yaen asinga paduthuteengathala',Why don't you make yourself ugly for learning about one another?'
4617, Thala Ajith Kumar Worldwide Fans like pannunga',Like Thala Ajith Kumar World'
4618, vera level thala  u r rock',Rock on another level'
4619, Remake padamna music um remake panra vanga madhiyila Thannoda own music pottathu sema ya irukuEllam U mayam',"If you want to remake the movie or the music, you have to put the music in the afternoon.'"
4620, Thalapathi fans sarpaga padam vetri pera valthukal thala fans',"On behalf of Thalapathy Pals, congratulations for the success of the film, Thala Pals'"
4621, Ajith sir 🤩   T H A L A',Ajith sir 🤩 T H A L A'
4622,  times ku mela pathavanga like pannunga',Like the Times above'
4623, Thala bloods hit a like',Thala blues hit a like'
4624, Orutha mela viswasam katradhukaga innorthana yen asinga paduthiringa tn people mind voice adha nee solra',"Why are you lying ugly to others for learning to trust each other, your people's mind voice says that'"
4625, Avara control panna mudiyathu en na Avar Thala',I can't kill him'
4626, Indha flim nalla irukum social concept pink nerkondaparvai',This film is a good social concept Pink Nerakondaparvai'
4627, Mokka  Hindi movieya apadiye remake pannirukan Avlo worth illa mokka than',"Mokka Hindi movie has been remade like that, Mokka Dana is not worth it'"
4628, Maassss thala ipati neraiya nerarya neraiya neraiya neraiya iruku masss speech thala',There are a lot of things like this in mass speech mass speech.'
4629, Vere level Thala fanz from kerala',Another level is Thala Pals Frame Kerala'
4630, Verithanam  waiting  aaa veri eruthu',Madness is a raging ox'
4631, Ayyo thala pakka pakka veri aagudhu',"Alas, it is a frenzy'"
4632, Thala da Thala veriyan  i am waiting for you',U'
4633, Yella pasangalum paakkavendiya Padam Thala sonna namba pasanga keapanga',Listen to our talk about the movie that everyone should watch'
4634, Koodi daw dhala thamass daw',Goody Dove Thala Thomas Dove'
4635, Marana mass      Thala da',Death Mass'
4636, Oruthar mela visvasam kattrathukaga einnoruthara en asinga paduthiringa',"To learn faith in one another, lay down my ugliness'"
4637, i love my thala Trailer vara lavel',I Love My Thala Trailer Vara Level'
4638, Thala  yuvan bgm vera level',Thala Yuvan Bikum is another level'
4639, Thalaaa maranaaa masssss love u thalaaaa',Thala maranaar massss love u tar'
4640, RIP Headphone users Ippadi Kathuvan nu Ethirpakule Suriya',Surya expected that Sersa would shout like this on his phone'
4641, Last Dialogue  Oruthan mela viswasam kaatradhukku inorthavanai yen asingam padithirenga  ',LOST DIALOGUE Why do you read Inorthavan as ugly to be jealous of someone?'
4642, Enna eedhu bollywood pink movie marri aah eeruku',What's up with Bollywood Pink Moaye?'
4643,  sec   Thala Kola mass',Czech Tala Kola Mas'
4644, Ajith  neriya neriya neriya neriya neriya Judge  Mr Vandu Court la ipdi la kattha kudathu',Ajith should not yell at Judge and Vandu in the court.'
4645, Gommala vera level ethir pakkave illa U THALA combo na summava bgm ithu unma na like podunga',"Kummala, no other level is waiting for you. U tala combo na summava pakum. This is true. Please like it.'"
4646, Thala new look leak ',Thala New Look League'
4647, Thala thala thala va aaaaaa vaaaaa thalaLove youuuuu so much Thalaaaaaaaaaaaaaaaaaaaaaaaaaaa',Thala thala thala va aaaaaa vaaaaa thalaLove youuuuu so much Thalaaaaaaaaaaaaaaaaaaaaaaaaa'
4648, Tamil nattula intha getup la nadikka evanukkuda thillu irukku     ellam ota up uh',Who has the guts to act in this bad movie in Tamil Nadu?'
4649, my kadavul tharisanamlove u thala ',You are the only one who sees God'
4650, Dislike potavanaga nenga irukara varikum nanga inum mela mela poovm da Thala daaa',"Until you're the one who put it on Dislike, we'll go further and further'"
4651, Solrathuku onumey ela simply west yatho seriyal pakara mathre eruku',"There is only one thing to say about the auction, Simply West, or Serial Pakara'"
4652, Thala',Leader'
4653, Bgm vera level Thala pink already paathathutamil version kaga waiting',Bikum another level head pink alleadi padhutum varsin kaka divin'
4654, Thalaaa 🤩🤩🤩🤩🤩🤩🤩vera level miss u thala',Thalaaa 🤩🤩🤩🤩🤩🤩🤩vera level miss u thala'
4655, Hit like M Thala Mass',Hit Like and Thala Mas'
4656, Neraya neraya neraya neraya neraya  Vera level massssssss Love u thala',Next Level Next Level Mass'
4657, I love and like this my thala nkp mass tailor pothuva solluran enakku aijth ennavea pedikkum ethula sollava venum',E love and like this me thala naf mas tyler tell me what's wrong with ijit'
4658, Like so much Thala from AP PawanKalyan Anna fans',Like So Much Thala Frame Up Pawan Kalyan Anna Pals'
4659, Yabba dei vinoth enga dhala ya vechi seirathula  nee cheeta vaye minjiruva daw 🤣🤣🤣🤣',Yabba dei vinoth enga dhala ya vechi seirathula nee cheeta vaye minjiruva daw 🤣🤣🤣🤣'
4660, ena patamo ethala poiyarunga paappa  ajith fans mattuntha poi pakkanum',"If the movie is a lie, Papa Ajith Pals should be seen as a lie'"
4661, Enna da athukulla mudichu pochu chai  Thala ya pathutey irukanum',What if the knot in it is gone?'
4662, Nerkonda parvai nu solitu ellam avan seyal padatha eduthu vechirukanga ya',Did you take a picture of his action after talking about the incident?'
4663, Maranam maranam maranam maranam maranam maranam maranam maranam maranam',Death Death Death Death Death Death Death Death'
4664, Ennaaaa trailer  da thala  veralevel',What is the trailer title verlevale'
4665, Semma dialogues  semma dialogues delivery thala look like a LION man',Semma Dialogs Semma Dialogs Delivery Head Look Like A Line Man'
4666, Thalapathy fan   Teaser nalla iruku  Thala semma',Thalapathy Bane teaser is good'
4667, Manushan epadi nadikuraru paruupaaaai feel  mangatha bgm',How Manushan is acting is the responsibility of Peel Mangada Bhagum'
4668, Enna da acting Thala punda marri pandra',What da acting to change the head'
4669, I am Surya Anna fans marana masss Thala',E Ama Surya Anna Pals Death Massages Thala'
4670,  enna harris bgm lam varudhu   Therikkudhu Yuvan bgm',What is Harris Bikum Lam Varutu Terikkutu Yuen Bhagum'
4671, Thala thala thala  Thala',Tala Tala Tala Tala'
4672, Thala ajith in Ner konda  parvai  August  th I am    marana waiting',Thala Ajith's vision was in August 1998'
4673, Mass thala  yuvan bgm',Mas Thala Yuvan Bhikum'
4674, Love love u thala Oruthavga vachu visavathuka ye aduthavagala asiga paduthuriga Sema dialogue',Love Love U Thala Erutavik Vachu Viswathukka A Sema Dialog'
4675, Thala nanum Lawyerthaan sema mass sa iruku Goosebumps',Goosebumps are my head and I love it'
4676, Nerkonda paarvai vetri pera valthugindra thalapathy rasigan',A Thalapathy fan wishing Nerakonda Parshi a win'
4677, Like potutu video potavanga yar yar',Who are the people who liked and posted the video?'
4678, Suriya rasigargal sarbaga padam vetri pera valthukal nanbargaley',"On behalf of Suriya fans, I wish the film a success, friends'"
4679, Apdilam nadakathu nadaka koodathu  Thala voice vera level',Abdilam does not happen should not happen Thala voice is another level'
4680, Wowww Cinematography vera level 🤩 thala ya semaya kambichurukaru',Wowwww cinematography vera level 🤩 thala ya semaya kambichurukaru'
4681, Intha trailer kku wait pannuna  Vijay fans Oru like pannuga',Like this trailer by Vijay Pals'
4682, Tamilnadu ahhh THALA voice nala Thalahduthu',Tamil Nadu Ahhh Thala Voice Nala Talhaduthu'
4683, I lv u thala  Unna adika evanum ila',E Love U Thala No one can beat you'
4684, Thala vera vera vera level',It's a different level'
4685, Thalaaaaaa mass love u sooo much',Taaaah mass love u sooo much'
4686, Sprb shradha srinath done a good job',Subraba Shraddha Srinath in a good soap'
4687, Dei vengigala oru trailer kuda oluga eduka mudiyatha',Even a trailer can't do justice to Dei Venki'
4688, Money money money money money  Now  Neraya neraya neraya neraya  Thala vera level',Mone Mone Mone Mone Mone Now Next Level Next Level'
4689, Yuvan Bgm king than ya',Yuen Bikum King Dhana Ya'
4690, Pink remake  worst dialogue ever',The pink remake has the worst dialogue ever'
4691, Vera level thala i love u',Another level head e love u'
4692, Nerkonda parvai  Sema sema sema trailer',Narekonda Pravi Sema Sema Sema Trailer'
4693, Nice punch oruthar mela viswasam kaata eduku inoruthara asinga paduthuringa',"Nice punch, why are you so mean to each other?'"
4694, Last dialog vera vera level thala',Last dialogue is another level'
4695, Thala last punch true true true ',Thala Last Punch Dru Dru Dru'
4696, Maranaa Mass Thala U Bgm Vera Level',Marana Mas Thala U Bhagum is another level'
4697, Like pottutu thalaya pathavangha yar yar ',Who's who likes and posts'
4698, Thala Vera level Luv u thala',A different level of love'
4699, No  trending innum Konjam nerathu la vanthurum',No Trending will come in a little while'
4700, hindi version dekho ye h link',Hindi Verses Techhv A H Link'
4701, hindi version dekho ye h link',Hindi Verses Techhv A H Link'
4702, hindi version dekho ye h link',Hindi Verses Techhv A H Link'
4703, hindi version dekho ye h link',Hindi Verses Techhv A H Link'
4704, hindi version dekho ye h link',Hindi Verses Techhv A H Link'
4705, HiNdI version',Hindi Verses'
4706, Can I get  like pls',Can I Get Like Plus'
4707, teaser kandu kuttam paranjavar kandolu heavy item',"After seeing the teaser, the crowd went wild and so did Hatchway'"
4708, Version  oru scene podhum crore over Vaera level',One scene of Worcester is enough to take it to another level'
4709, Ennada vfx idhu ivlo selavu panniyum cartoon madri irukku',Enna VS is a cartoon that costs so much'
4710, Vere level  waiting for movie',It's a different level of combat'
4711, Wtf did I just see 🤣🤣🤣 so fuckin Stupid',Wtf did I just see 🤣🤣🤣 so fuckin stupid'
4712, THIS YEARS BLOCKBUSTER MOVIES SARKAR  VISWASAM',This airs blockbuster Movis Sarkar Viswasam'
4713, tranding kyu ni aa rahi h yrr',Trending cu ni aa ragi h utta'
4714, Dont kill so many times just  Fasak',Dont kill so money times just pasak'
4715, Hit like for arr fans',Balls without hit like war'
4716, brammaaandatha paarthu brammippaaaagardhu yenbadhu yidhuthaaanoawoooooooowwwwwww many times watched but still want  to watchhats off to d team ',Awwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww made made by money times but still want to watch this team.'
4717, Vera level Shankar sir keep rocking',Another level shankar sir keep rocking'
4718, Kadaisila oru aelavu PURIYALA  🤣 SUPER TRALER',Kadaisila oru elavum PURIYALA 🤣 SUPER TRAILER'
4719, Akshay sir semma Amy jackson super CHITTY matum konjam oru maari iruku ANYWAYS  congradulations to O',Akshay sir semma ami jackson super chit only there is a little bit different congratulation to o'
4720, Thalaivaa nee va thalaivaa  Naaange eruko',"Head, you come, head, stay here'"
4721, Mbl ah Pathale ipolam bayama iruku ',It's scary to see the bubble'
4722, Iam Chittti Reloded version O sema Masssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss Vera leval',Iam Chittti Reloded version O sema Masssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss Vera leval'
4723, Ithu Trailer thaana illa vera yathachumaaa  ipdi iruku  saamy',"Sammy, this is not a trailer but something else'"
4724, Sumara  times parthachuone more trailer plzzzz',Sumara Times Partchuone More Trailer Plusssss'
4725, Love you Rajni sir and akki paji',Love you Rajini sir and Akki Bajji'
4726, AKSHAY AMIR aur SHAHRUKH ki latest movies main se aapko kiska trailer JABARDAST lga',Akshay Aamir R Shahrukh Ki Latest Movie Main Se Apko Kiss Trailer Jabardast Laga'
4727, Super trailerit also looks like power rangers',Super trailer also looks like Power Rangers'
4728, trailer dra perula padathayea kaatita epdiiiii',How to show trailer draw only image'
4729, Akki  rajini  Mind blowing',And Rajini is mint blowing'
4730,  ON trending in sri lanka',One trending is Sri Lanka'
4731, Telugu Pawan Kalyan Fans All the best Rajini sir',Telugu Pawan Kalyan Pals All The Best Rajini Sir'
4732, Dai kurutu thayoli magangala andha sprite ad da podathenga da muntta kuthiyangala   gotha kadupu maira iruku',Don't put the blind mother's sons in front of that spirit.'
4733, Engada next Gopi  Varun 🧐',Engada next Gopi Varun 🧐'
4734, Aiyaiyooooo thalaivaaaaaaaaaaaaaaaaa Marana MassVera leavel  trailer summa thearikka viduthutrailere apdinna movie summa velluthukattumI am waiting',Aiyaiyooooo thalaivaaaaaaaaaaaaaaaaa Marana MassVera leavel trailer summa thearikka viduthutrailere apdinna movie summa velluthukattumI am waiting'
4735, Love you love you love you millions Superstar',Love You Love You Love You Millions Superstar'
4736, Thalaivaaaaaaaaa you are just rocking  Mind blowing trailer Vera level Thalaiva',Thalaiwaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa of youre just rockin' mint blowing trailer another level talaiwaaaaaaaaaaaaaaaaaaaaaaaaa'
4737, Itna ghatiya trailer aur movie bhi utni hi ghatiya hone wali h',Itana showed the trailer r mowaye b udani hi showed kone wali h'
4738, Shankar sir  ur a legend',Shankar sir ur a legend'
4739, Main to pagal ho gya yaar tabahi h',Main du pagal ho nja yaar dapahi ha'
4740, Cartoon lag raha hai  gandoo O Motu patloo dekho sab',Cartoon like raha hai kandu o motu padalo tekho sub'
4741, k dislike krne valo ko shyad D effect k Barre Mai nhi',K Dislikke Crane Valve Ko Shyati Da Epiphicht K Parre Mai River'
4742, jaby Koay ka reaction aya rahega abhi tak',Aya Rahika Abee Tak of Jabiya Kokai Kareach'
4743, First Day First Show Poravangalam Like pottuttu Ponga',First day first show goers like it'
4744, so so so mitta vera laval  mass mass mass  i am waiting',So so so Mit another level mass mass mass e ama vidin'
4745, One sun one super star Rajinikanth',Onnu Son Onnu Superstar Rajinikanth'
4746, Ik baat smj ni i trailer ma bolte bhot hi kum ha',Ik bot samaj ne e trailer ma bolt bot hi kum ha'
4747, ONE MAN ARMY THALIVER MASS LEVEL',Onnu Man Aramut Chief Mass Level'
4748, semmaa trailer Vera level la iruku',Semma trailer is on another level'
4749, Naanum thalavar rasigan than enakku Akshaya Kumar performance than pudichi irukku thalavara dummy ah aakitanagaama vai illa ya',I am also a fan of leader. I love Akshay Kumar's performance.'
4750, Rajni waste shankar kaga padam pakkalam',Let's watch Rajini Waste Shankar's film'
4751, niz vera leval trailer supper edit supper',Nice another level trailer super edit super'
4752, So many crime scenes still gets U certificate lol',So many grim sences still get you certificade lol'
4753, Technicians uzhaippu ovvoru framelayum therikuthuvfx nallaa irukkaa illayaangrathu apramithana paer kasthapattadhukaavathu padam HIT aaganum',The hard work of the technicians is all over the place whether it is good or not.'
4754, Yeh movie Hollywood ke level ka he',Eh mowaye hollywood k level ka hi'
4755, kelatu punda makaluku oru nalathu panala suyanalavathi pundaaa mavan',Don't listen to the people of Bundaiya and don't make a day of it. Selfish Bundaiya Mavan'
4756, I cant say ki mujhe kitna achha laga',E kand se ki mujahi kidna acha laka'
4757, Nan like podutan but ennoda like atikkati cut aakuthu why',Only when I like but my like is often shot V'
4758, Shankar na mass  Shankar fans  like here',Shankar Na Mas Shankar Balls Like Tere'
4759, I miss you ishwarya rai madam',E Miss U Aishwarya Roy Madam'
4760, Hollywood wali feeling aa rahi hai boss Kya jabrdast hai yr',Hollywood Wally Peeling Ah Rai Hi Pas Kiya Jabardust Hi Yr'
4761, thalaivaaa unga nadippukku ellaye illai insha Allah next CM of India',Chairman there is no limit to your acting Insha Allah NEST KIM OP INDIA'
4762, Thank you so much Superstar Rajini sir',Thank you so much superstar Rajini sir'
4763, Pura nakli lagra marvels se kuch madat le lena tha re bhai log',Pura nekizhi lagra marvels se kuch matada le lena tha re b lok'
4764, Allam ok super than but Trailer mokkaye',Everything is ok super dana but trailer mokkaye'
4765, Padam mokka ya irukka poguthu nu thonuthu',It looks like the movie is going to be a disaster'
4766, Super I love akhasya hero and rnjk ji',Super E Love Comedy Hero and Ranjak G'
4767, Vfx work is Awesome like Hollywood movie',VS work is awesome like hollywood movie'
4768, But graphics sothapal panitanuga English Kara pottainga athan Padam late ayirichi',Butt Graphics Sothappal Panithanuka English Cara Pottinga Its Film Letha Aayirichi'
4769, ನಮ್ಮ ಕರ್ನಾಟಕದ ರಜನೀಕಾಂತ್ ಅವರಿಗೋಸ್ಕರ ನಮ್ಮ ಹಾಜರಿ ನಮ್ಮ ಕನ್ನಡದವರು ಎಷ್ಟು ಮಂದಿ ಇದೀರ್ಪಾ',How many of our Kannada people attended our Karnataka Rajinikanth?'
4770,  kodi kuduthu Cartoon panrathuku pathila  lakhs la Tom and Jerry edukalame',"Instead of making a million dollar cartoon, let's do Tom and Jerry with Laxus.'"
4771, OSM Trailor  VFX  Editing  Shankar  Subaskaran',Rossum Trailer VPs Editing Shankar Subashkaran'
4772, We want kannada ಕನ್ನಡ  versions',We want Kannada Kannada versions'
4773, Yeh  mai bani hai ya  mai',Eh mai pani hai ya mai'
4774, Mo oooooo kkkkk aaaaaa      Daaaaa',Mo oooooo kkkk aaaaa taaaaa'
4775, pakkalam padam thalaivar shankar arr combo vera waiting',Pakalam film is a different combo without the leader Shankar'
4776, Super  star  chitti  rockzz',Superstar City Rocks'
4777, Super star na summava Yan thalaivar',Superstar Na Chummawa Yan is the leader'
4778, Looks like Rama  Narayanan  mv',Look Like Rama Narayanan Maw'
4779, Bollywood ki yh movie takkar de skti h Hollywood ki movie ko',bollywood ki yah mowaye tucker de shakti h hollywood ki mowaye ko'
4780, Semma semma semma semmaa semmaaa semmaaaaaa',Semma semma semma semmaaaaaaaaaaaaaaaaa'
4781, Thalaivaaaaaaaa🤘 next cm of Tamil Nadu',Thalaivaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa 🤘 next cm of Tamil Nadu'
4782, Teaser LA ye mukka padatha mudichitinga innum enna balance',What is the balance of the face you created in the teaser?'
4783, itna paisa bekar kar diya bus cell phone ka hi naatak dikha raha hai baaki kuch nahi hai',Ittana paisa pekar kart dia bus cell phone ka hai nataka tika raha hai pakhi kuch nahi hai'
4784,  all mom favorite dialogue super marana waiting',All maam pavoridae dialogue super morna vidin'
4785, Looks like shit CGI  Script',Look like sheet see script'
